# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	195
#@/user_id	2a1abae4-5347-4626-9234-4227846a7145
yu shi 	於是	c=5 d=3.13914 t=195
yuan fang 	遠方	c=2 d=1.36692 t=195
yuan fang qu 	遠方去	c=4 d=2.76249 t=195
yuan run 	圓潤	c=1 d=0.501576 t=195
yun suan 	運算	c=1 d=0.460704 t=195
zai 	在	c=1 d=0.609571 t=195
zen me 	怎麼	c=2 d=1.7851 t=195
zhi dao 	知道	c=1 d=0.818731 t=195
zhi neng 	只能	c=1 d=0.941765 t=195
zhu 	主	c=1 d=0.489192 t=195
zi 	字	c=1 d=0.900325 t=195
zi ku 	字庫	c=5 d=2.8989 t=195
zi ti 	字體	c=3 d=1.52254 t=195
zuo 	做	c=0 d=0.0465334 t=195
zuo yi ge 	做一個	c=1 d=0.467666 t=195
